;reaction_id;flux_value;classification;y_f;y_r;c_value
20;dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase [c];0.0;moderate;0.0;0.0;0.3649257225199009
21;(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase [c];0.0;high;0.0;0.0;1.3645114190594982
22;[Acyl-carrier-protein] acetyltransferase [c];0.0;low;1.0;0.0;
23;ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase [c];0.0;high;0.0;0.0;1.1253177243083452
24;R05611 [c];0.0;high;0.0;0.0;1.0722930193361673
25;pyridoxine 5'-phosphate synthase [c];0.0;high;0.0;0.0;1.009636449715145
26;oxalosuccinate carboxy-lyase (2-oxoglutarate-forming) [c];1.0;moderate;1.0;0.0;0.7530851935698668
27;inosine:phosphate alpha-D-ribosyltransferase [c];1.0;moderate;1.0;0.0;0.9850810312058436
28;(S)-3-Hydroxyisobutyryl-CoA hydrolase [c];0.0;moderate;0.0;0.0;0.0151603208546958
29;isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase [c];0.0;low;1.0;0.0;
30;RXN0-6987.c [c];0.0;moderate;0.0;0.0;0.4029379144930443
31;Sulfate adenyltransferase [c];1.0;high;1.0;0.0;1.0724717614510946
32;Acetate:CoA ligase (ADP-forming) [c];0.0;;;;
33;ATP:dCMP phosphotransferase [c];0.0;low;1.0;0.0;
34;(3R)-3-Hydroxybutanoyl-CoA hydro-lyase [c];1.0;low;0.0;0.0;
35;N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) [c];3.0;moderate;1.0;0.0;0.1059945583309918
36;1,4-dihydroxy-2-naphthoate octaprenyltransferase [c];0.0;high;0.0;0.0;1.1176166899414048
37;L-allo-threonine dehydrogenase [c];0.0;low;1.0;0.0;
38;dCTP:cytidine 5'-phosphotransferase [c];1.0;low;0.0;0.0;
39;(R)-4'-Phosphopantothenate:L-cysteine ligase [c];0.0;moderate;0.0;0.0;0.5354313608234286
40;UDP-glucose:NAD+ 6-oxidoreductase [c];0.0;moderate;0.0;0.0;0.474703750837916
41;ATP:L-glutamate 5-phosphotransferase [c];0.0;low;1.0;0.0;
42;prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase [c];0.0;moderate;0.0;0.0;0.0752048691387205
43;10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming) [c];0.0;low;1.0;0.0;
44;acetyl-CoA:L-glutamate N-acetyltransferase [c];35.636364;low;0.0;0.0;
45;2'-Deoxycytidine 5'-monophosphate phosphohydrolase [c];0.0;low;1.0;0.0;
46;O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase [c];0.0;high;0.0;0.0;1.0259921110176964
47;Transport of succinate, extracellular [c];0.0;low;1.0;0.0;
48;4-Hydroxybenzoate transport via proton symport [c];0.0;low;1.0;0.0;
49;ATP:D-fructose-6-phosphate 1-phosphotransferase [c];0.0;low;1.0;0.0;
50;Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm) [c];0.0;low;1.0;0.0;
51;L-methionine R-oxide transport via ABC system [c];0.0;high;0.0;0.0;1.155985643212354
52;UTP:D-Tagatose 6-phosphate 1-phosphotransferase [c];0.0;low;1.0;0.0;
53;3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating) [c];0.0;low;1.0;0.0;
54;Lead (Pb+2) ABC transporter [c];0.0;low;1.0;0.0;
55;stearoyl-cardiolipin synthase [c];0.0;;;;
56;5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase [c];0.0;low;1.0;0.0;
57;Uroporphyrinogen I carboxy-lyase [c];0.0;high;0.0;0.0;1.117201245006666
58;2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase [c];0.0;high;0.0;0.0;1.0489439961927671
59;L-Aspartic acid:oxygen oxidoreductase (deaminating) [c];1.0;moderate;1.0;0.0;0.8457270081610712
60;R04638 [c];0.0;moderate;0.0;0.0;0.4045280154962657
61;1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase [c];0.0;low;1.0;0.0;
62;isopentadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase [c];0.0;low;1.0;0.0;
63;succinate dehyrdogenase [c];1.0;high;1.0;0.0;1.0026091584958114
64;anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase [c];0.0;low;1.0;0.0;
65;1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0) [c];0.0;low;1.0;0.0;
66;isohexadecanoyl-phosphatidate cytidylyltransferase [c];0.0;low;1.0;0.0;
67;trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase [c];0.0;low;1.0;0.0;
68;15-methyl-trans-hexa-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
69;(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
70;isoheptadecanoyl-glycerol-3-phosphate O-acyltransferase [c];0.0;low;1.0;0.0;
71;D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming) [c];0.0;low;1.0;0.0;
72;Creatinine iminohydrolase [c];0.0;high;0.0;0.0;1.0069602280805614
73;2-phenylacetamide amidohydrolase [c];0.0;low;1.0;0.0;
74;Lactose galactohydrolase [c];-1.0;moderate;0.0;1.0;0.4945861772423126
75;glycerone phosphate:iminosuccinate alkyltransferase (cyclizing) [c];0.0;high;0.0;0.0;1.0360315276409984
76;S-(hydroxymethyl)glutathione dehydrogenase [c];-1000.0;high;0.0;1.0;1.113553008440311
77;L-serine ammonia-lyase [c];117.81818;moderate;1.0;0.0;0.6261118320733925
78;isotetradecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase [c];0.0;low;1.0;0.0;
79;D-arabinose-5-phosphate aldose-ketose-isomerase [c];0.0;low;1.0;0.0;
80;diphosphate phosphohydrolase [c];0.0;low;1.0;0.0;
81;murein D,D-endopeptidase (murein4px4p) (periplasm) [c];0.0;low;1.0;0.0;
82;2-Methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating) [c];0.0;low;1.0;0.0;
83;phosphate ABC transporter permease protein [c];-22.0;high;0.0;1.0;1.1356342739874374
84;orotidine-5'-phosphate carboxy-lyase (UMP-forming) [c];0.0;low;1.0;0.0;
85;2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase [c];0.0;high;0.0;0.0;1.037978490786371
86;R04134 [c];0.0;moderate;0.0;0.0;0.6624121773192764
87;Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0) [c];0.0;low;1.0;0.0;
88;5-methyltetrahydrofolate:NADP+ oxidoreductase [c];1.0;moderate;1.0;0.0;0.3566681491297549
89;L-Serine hydro-lyase (adding homocysteine) [c];0.0;moderate;0.0;0.0;0.791274106781563
90;dATP:uridine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
91;diacylglycerol kinase (n-C14:1) [c];0.0;moderate;0.0;0.0;0.1463420475613635
92;Cytosine aminohydrolase [c];2.0;high;1.0;0.0;1.0069602280805614
93;salicin transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
94;hypoxanthine:NAD+ oxidoreductase [c];-1.0;low;0.0;0.0;
95;XTP pyrophosphohydrolase [c];0.0;moderate;0.0;0.0;0.4673437517167507
96;anteisoheptadecanoyl-Diacylglycerol kinase [c];0.0;moderate;0.0;0.0;0.1463420475613635
97;(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase [c];0.0;low;1.0;0.0;
98;Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm) [c];0.0;low;1.0;0.0;
99;nitrous-oxide:NAD+ oxidoreductase [c];0.0;;;;
100;Maltodextrin phosphorylase (maltopentaose) [c];0.0;low;1.0;0.0;
101;ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-alpha-phosphate 4-O'-phosphotransferase [c];0.0;low;1.0;0.0;
102;UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate-D-alanine ligase [c];0.0;moderate;0.0;0.0;0.1899084138927937
103;phosphoenolpyruvate:D-arabinose-5-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming) [c];0.0;moderate;0.0;0.0;0.8592900826977188
104;dihydrolipoylprotein:NAD+ oxidoreductase [c];116.81818;high;1.0;0.0;1.0653648559494668
105;Gly-Phe aminopeptidase [c];0.0;moderate;0.0;0.0;0.4029379144930443
106;ATP:L-aspartate 4-phosphotransferase [c];1.0;low;0.0;0.0;
107;CDP-diacylglycerol synthetase (n-C14:1) [c];0.0;low;1.0;0.0;
108;3-Hydroxy-L-kynurenine hydrolase [c];0.0;moderate;0.0;0.0;0.0267473089258885
109;Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating) [c];0.0;low;1.0;0.0;
110;Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1) [c];0.0;low;1.0;0.0;
111;prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase [c];0.0;moderate;0.0;0.0;0.0752048691387205
112;6-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
113;butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c];0.0;moderate;0.0;0.0;0.6920181288816155
114;L-histidine ammonia-lyase (urocanate-forming) [c];0.0;low;1.0;0.0;
115;Hexanoyl-CoA:acetyl-CoA C-acyltransferase [c];0.0;high;0.0;0.0;1.2417356207204766
116;Amylomaltase (maltotetraose) [c];0.0;low;1.0;0.0;
117;5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
118;Cadmium-translocating P-type ATPase [c];0.0;low;1.0;0.0;
119;O3-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase (reducing, L-cysteine-forming) [c];0.0;low;1.0;0.0;
120;L-aspartate:L-glutamine amido-ligase (AMP-forming) [c];1.0;high;1.0;0.0;1.1224271777103696
121;Phosphatidylserine syntase (n-C14:0) [c];0.0;low;1.0;0.0;
122;glutarate-semialdehyde:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
123;Maltose alpha-D-glucosylmutase [c];0.0;low;1.0;0.0;
124;R03316 [c];1.0;high;1.0;0.0;1.0692722367738767
125;acyl-[acyl-carrier-protein] synthetase  (n-C16:1) [c];0.0;low;1.0;0.0;
126;Phosphatidylserine syntase (n-C16:1) [c];0.0;low;1.0;0.0;
127;(R)-4'-Phosphopantothenate:L-cysteine ligase [c];0.0;moderate;0.0;0.0;0.5354313608234286
128;Glycerophosphodiester phosphodiesterase [c];0.0;low;1.0;0.0;
129;biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming) [c];0.0;low;1.0;0.0;
130;O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase [c];0.0;low;1.0;0.0;
131;ATP:shikimate 3-phosphotransferase [c];3.0;;;;
132;Nicotinate D-ribonucleotide phosphohydrolase [c];0.0;low;1.0;0.0;
133;Prephenate:NAD+ oxidoreductase(decarboxylating) [c];1.0;moderate;1.0;0.0;0.9422787830552546
134;GTP:alpha-D-mannose-1-phosphate guanylyltransferase [c];0.0;high;0.0;0.0;1.015241536884968
135;ATP:adenylylsulfate 3'-phosphotransferase [c];1.0;high;1.0;0.0;1.1129406710601508
136;Octanoyl-CoA:oxygen 2-oxidoreductase [c];1.0;moderate;1.0;0.0;0.5276378124934911
137;R07603 [c];0.0;low;1.0;0.0;
138;LL-2,6-Diaminoheptanedioate 2-epimerase [c];0.0;high;0.0;0.0;1.097821676767034
139;N-Formimino-L-glutamate iminohydrolase [c];0.0;low;1.0;0.0;
140;guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase [c];0.0;low;1.0;0.0;
141;RXN0-6977.c [c];0.0;moderate;0.0;0.0;0.4029379144930443
142;NADH dehydrogenase (menaquinone-8 & 0 protons) [c];1.0;high;1.0;0.0;1.0566126502594884
143;copper transport out via proton antiport [c];1.0;high;1.0;0.0;1.1248687347135538
144;1-Pyrroline-4-hydroxy-2-carboxylate aminohydrolase (decyclizing) [c];0.0;high;0.0;0.0;1.1513803756174954
145;5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase [c];0.0;low;1.0;0.0;
146;porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing) [c];0.0;low;1.0;0.0;
147;hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c];0.0;moderate;0.0;0.0;0.6920181288816155
148;Phosphatidylserine decarboxylase (n-C14:0) [c];0.0;low;1.0;0.0;
149;Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0) [c];0.0;low;1.0;0.0;
150;ATP:pyruvate 2-O-phosphotransferase [c];0.0;low;1.0;0.0;
151;ATP:(R)-glycerate 3-phosphotransferase [c];0.0;high;0.0;0.0;1.0003788391807555
152;D-glucosamine transport via PEP:Pyr PTS [c];2.0;moderate;1.0;0.0;0.0772462869039078
153;ATP:dephospho-CoA 3'-phosphotransferase [c];0.0;low;1.0;0.0;
154;Inosine 5'-triphosphate pyrophosphohydrolase [c];1.0;moderate;1.0;0.0;0.4673437517167507
155;1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase [c];0.0;low;1.0;0.0;
156;7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
157;D-fructose transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
158;12-methyl-trans-tetra-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
159;quinone reductase [c];1.0;high;1.0;0.0;1.0566126502594884
160;D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating) [c];-4.0;high;0.0;1.0;1.0631619665723653
161;TRANS-RXNBWI-115401.ce.maizeexp.OH_OH [c];0.0;low;1.0;0.0;
162;1D-myo-Inositol 1-phosphate phosphohydrolase [c];0.0;low;1.0;0.0;
163;Na+/glutamate symport [c];-2.0;high;0.0;1.0;1.0223984767284808
164;Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase [c];0.0;low;1.0;0.0;
165;Propanoyl-CoA:carbon-dioxide ligase (ADP-forming) [c];0.0;low;1.0;0.0;
166;isoheptadecanoyl-cardiolipin synthase [c];0.0;;;;
167;UDP-N-acetyl-D-glucosamine 2-epimerase [c];0.0;moderate;0.0;0.0;0.3576907889418632
168;dihydroorotic acid (menaquinone-8) [c];0.0;low;1.0;0.0;
169;13-methyl-3-oxo-tetra-decanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
170;Hydroxymethylbilane hydro-lyase(cyclizing) [c];0.0;low;1.0;0.0;
171;anteisoheptadecanoyl-cardiolipin synthase [c];0.0;;;;
172;Phosphatidylserine decarboxylase (n-C18:0) [c];0.0;low;1.0;0.0;
173;(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase [c];-1.0;high;0.0;1.0;1.3645114190594982
174;UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase [c];0.0;moderate;0.0;0.0;0.9056369821224096
175;ATP:AMP phosphotransferase [c];-1.0;high;0.0;1.0;1.0352504054927616
176;dCMP aminohydrolase [c];0.0;low;1.0;0.0;
177;2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase (cyclyzing) [c];3.0;low;0.0;0.0;
178;ATP:alpha-D-glucose-1-phosphate adenylyltransferase [c];0.0;low;1.0;0.0;
179;Pyruvate:carbon-dioxide ligase (ADP-forming) [c];0.0;moderate;0.0;0.0;0.6912990744719477
180;Dodecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c];0.0;low;1.0;0.0;
181;Copper transport via ABC system [c];1.0;low;0.0;0.0;
182;ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase [c];0.0;moderate;0.0;0.0;0.5336239398573442
183;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase [c];116.81818;low;0.0;0.0;
184;ATP:D-fructose-1-phosphate 6-phosphotransferase [c];0.0;low;1.0;0.0;
185;2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming) [c];1.0;high;1.0;0.0;1.1974690320114094
186;lauroyl-CoA hydrolase [c];0.0;moderate;0.0;0.0;0.0561541555000128
187;L-Histidinol-phosphate phosphohydrolase [c];0.0;low;1.0;0.0;
188;Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm) [c];0.0;low;1.0;0.0;
189;CTP:D-Tagatose 6-phosphate 1-phosphotransferase [c];0.0;low;1.0;0.0;
190;Homogentisate:oxygen 1,2-oxidoreductase (decyclizing) [c];3.0;low;0.0;0.0;
191;anteisopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase [c];0.0;low;1.0;0.0;
192;Lauroyl-CoA:(acceptor) 2,3-oxidoreductase [c];1.0;moderate;1.0;0.0;0.5276378124934911
193;Guanosine 5'-monophosphate phosphohydrolase [c];2.0;low;0.0;0.0;
194;dTDPglucose 4,6-hydro-lyase [c];0.0;moderate;0.0;0.0;0.7405346130392608
195;Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm) [c];0.0;low;1.0;0.0;
196;UTP:pyruvate 2-O-phosphotransferase [c];0.0;low;1.0;0.0;
197;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating) [c];0.0;low;1.0;0.0;
198;TRANS-RXNBWI-115531.ce [c];0.0;low;1.0;0.0;
199;Acetyl-CoA:acetyl-CoA C-acetyltransferase [c];417.27273;high;1.0;0.0;1.0743434530046867
200;ATP:L-selenomethione S-adenosyltransferase [c];0.0;high;0.0;0.0;1.0023686722853544
201;Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase [c];0.0;low;1.0;0.0;
202;(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
203;2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase [c];0.0;low;1.0;0.0;
204;ATP:D-glycero-beta-D-manno-heptose 7-phosphate 1-phosphotransferase [c];0.0;moderate;0.0;0.0;0.0650703694975807
205;nonpolar-amino-acid-transporting ATPase [c];0.0;low;1.0;0.0;
206;D-Fructose-1,6-bisphosphate 1-phosphohydrolase [c];1.0;moderate;1.0;0.0;0.8247704299458507
207;NAD-dependent threonine 4-phosphate dehydrogenase [c];0.0;low;1.0;0.0;
208;S-methyl-5'-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase [c];0.0;moderate;0.0;0.0;0.3095367757702174
209;8-methyl-3-oxo-nonanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
210;Acetaldehyde:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
211;4-Oxalocrotonate carboxy-lyase [c];0.0;moderate;0.0;0.0;0.0838765202504649
212;NAD kinase (dTTP) [c];0.0;low;1.0;0.0;
213;(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase [c];0.0;high;0.0;0.0;1.0011985901462528
214;Chorismate pyruvate-lyase (amino-accepting) [c];0.0;low;1.0;0.0;
215;palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted [c];0.0;high;0.0;0.0;1.0579979408010238
216;mannitol transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
217;UDP-N-acetyl-D-mannosamine:N-acetyl-beta-D-glucosaminyldiphosphoundecaprenol beta-1,4-N-acetylmannosaminyltransferase [c];0.0;moderate;0.0;0.0;0.3242509481565034
218;methionyl aminopeptidase [c];0.0;moderate;0.0;0.0;0.4029379144930443
219;dGTP:pyruvate 2-O-phosphotransferase [c];0.0;low;1.0;0.0;
220;(S)-2-methylbutanoyl-CoA:oxygen 2,3-oxidoreductase [c];0.0;moderate;0.0;0.0;0.5276378124934911
221;"GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming) [c]";4.0;high;1.0;0.0;1.135915047241065
222;2'-Deoxyguanosine 5'-monophosphate phosphohydrolase [c];0.0;low;1.0;0.0;
223;FACOAL150(anteiso) [c];0.0;low;1.0;0.0;
224;sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase [c];0.0;low;1.0;0.0;
225;FabH [c];0.0;low;1.0;0.0;
226;oligopeptide-transporting ATPase [c];0.0;low;1.0;0.0;
227;Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0) [c];0.0;low;1.0;0.0;
228;3-Hydroxyoctodecanoyl-ACP:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
229;vanillate:oxygen oxidoreductase (demethylating) [c];0.0;low;1.0;0.0;
230;L-Histidinol:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
231;isotetradecanoyl-phosphatidate cytidylyltransferase [c];0.0;low;1.0;0.0;
232;glycine:oxygen oxidoreductase (deaminating) [c];1.0;high;1.0;0.0;1.1957634559623151
233;anteisopentadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase [c];0.0;low;1.0;0.0;
234;(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase [c];0.0;moderate;0.0;0.0;0.5925016958464195
235;TRANS-RXN-173.ce [c];-471.27273;moderate;0.0;1.0;0.8539340603491536
236;Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm) [c];0.0;low;1.0;0.0;
237;Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming) [c];1.0;moderate;1.0;0.0;0.8443248085608969
238;Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0) [c];0.0;low;1.0;0.0;
239;L-Arginine iminohydrolase [c];1.0;high;1.0;0.0;1.262830524989821
240;L-Kynurenine,NADPH:oxygen oxidoreductase (3-hydroxylating) [c];0.0;moderate;0.0;0.0;0.3837282667147607
241;GTP 7,8-8,9-dihydrolase (diphosphate-forming) [c];0.0;low;1.0;0.0;
242;2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylpropanoyl)transferase [c];0.0;low;1.0;0.0;
243;Estrone 3-sulfate sulfohydrolase [c];0.0;moderate;0.0;0.0;0.4776566614722892
244;Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating) [c];0.0;moderate;0.0;0.0;0.2523277766240366
245;nickel transport via ABC system [c];0.0;;;;
246;Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm) [c];0.0;low;1.0;0.0;
247;sarcosine:oxygen oxidoreductase (demethylating) [c];0.0;;;;
248;O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase [c];0.0;low;1.0;0.0;
249;(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase [c];0.0;moderate;0.0;0.0;0.1172338659109856
250;formamidopyrimidine nucleoside triphosphate amidohydrolase [c];0.0;low;1.0;0.0;
251;glycerol-3-phosphate acyltransferase (C18:0) [c];0.0;low;1.0;0.0;
252;isopentadecanoyl-Diacylglycerol kinase [c];0.0;moderate;0.0;0.0;0.1463420475613635
253;propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming) [c];0.0;high;0.0;0.0;1.0107935788858915
254;dTTP:uridine 5'-phosphotransferase [c];0.0;low;1.0;0.0;
255;sn-Glycero-3-phosphocholine glycerophosphohydrolase [c];0.0;low;1.0;0.0;
256;anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted [c];0.0;high;0.0;0.0;1.0579979408010238
257;Phosphatidylglycerol synthase (n-C16:0) [c];0.0;low;1.0;0.0;
258;O-acetyl-L-homoserine acetate-lyase (L-homocysteine forming) [c];0.0;low;1.0;0.0;
259;"L-ornithine ammonia-lyase (cyclizing; L-proline-forming) [c]";0.0;low;1.0;0.0;
260;maltose transport via PEP:Pyr PTS [c];0.0;moderate;0.0;0.0;0.0772462869039078
261;TRANS-RXN-3.ce [c];1.0;moderate;1.0;0.0;0.0400306375458489
262;Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c];0.0;moderate;0.0;0.0;0.6920181288816155
263;8-methyl-trans-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
264;(S)-Hydroxydecanoyl-CoA hydro-lyase [c];0.0;low;1.0;0.0;
